signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-491DAC98F9D84794	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_OBSERVABILITY_RESEARCH_QUEUE.csv	2	sha256:040c5b93e55b54194d239dd130b1613ab6fb111e7a2a137a1afcfaa13845bf76	CN,China,high,A visible governability,high,China AI Act implementation competent authority; China algorithm register public sector AI; China AI regulatory sandbox; China AI procurement public sector guidance; China AI audit logs provenance post-market monitori	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49394CCB2C34E44E	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-gap-map-v0.2.csv	9	sha256:032d3c31f172c7f0a18a03e9f12faffff65e0730dcce2372cab32f66d055c0e6	GM-REC-NL-ALG-REC-33698247,NL-ALG-REC-33698247,NL-ALG-REG,Algorithm Register of the Dutch government,record_sample,record_level,substantive_page,Netherlands,Netherlands,,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1153/3	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-494610909E030CBD	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-341-active-lanes-8-ttconnect-anansi-trust-and-human-escalation-hardening/facts.jsonl	1088	sha256:411d75e355a6dfe14391c51026e596754912c856a82a943a5ca94ddbb4e0755d	"{""agent_id"": ""philippines-egovai-government-ai-platform"", ""claim"": ""Existing eGovAI developer-document evidence exposes a government AI assistant API surface with authentication, message processing, intent recognition, entity extraction, JSON responses, and re"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-495DBAD118AE64E9	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/tables/registry-deployed-record-accession-all-20260607.csv	1418	sha256:5674aa6fafdd3fde4266465819d0796e9f6e4711769c051e0945b4f3f441176d	ALL-CA-AI-REG-0003,CA-AI-REG,Government of Canada AI Register,Canada,2526-AAFC-AAC-003,Annual Crop Inventory Map,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI R	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-495FD911FCDF7864	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/limen-ai-edge-case-atlas/results/boost/limen-boost-054/public-sector-shared-disclosure-panel.tsv	5	sha256:3e1821bb35b21870b16195ac3bd2f8d525cd92085e1d1fae6f9eaee0b1c4b88b	2026-06-07T20:00:45Z PSSDP-054-004 psdc-004 unknown_local_register_anchor Netherlands nl public_ai_register_entry five_row_core_register_exemplar yes register_entry_text_present_linked_internal_source_not_public No statutory legal basis quoted on the page; gov	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4976F29633018004	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_4_SOURCE_REFRESH.csv	190	sha256:429f64e34cbba6794699f6f660d2147f181b46ff1529ac6bb3be0508132edb7a	"NG,Nigeria,I05,Nigeria official portal search for algorithm register,Nigeria Government Portal,https://www.nigeria.gov.ng/,2026-05-31,official_government_portal_negative,negative_evidence,L,""No public algorithm register was found during targeted checks of gove"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-497A2B4479631297	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1422	sha256:b74ecbdc170292971dd7fda1ab19004add923105ca1f00fe1f42fc0ba55d38e3	ALL-CA-AI-REG-0007,CA-AI-REG,Government of Canada AI Register,Canada,2526-CBSA-ASFC-004,Primary Inspection Kiosk,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI R	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-497BC1D4FF627068	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	C2PA	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/exploitation-wave-atlas-20260605T192929Z/claim-support-digest.json	474	sha256:d499c6b09e7b2a6cb2e05903a6cbe27cfbc0386daa7bfcf99e0205162a35d963	"text: ""- Artifacts: - OK `analysis/evidence-package/ai-evidence-package-profile-v0.2.md` - OK `analysis/evidence-package/ai-evidence-package-profile-v0.2.schema.json` - URLs: - OK `https://eur-lex.europa.eu/eli/reg/2024/1689/oj` status=202 error= - OK `https"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4985458554DD7B9D	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_3_SOURCE_REFRESH.csv	307	sha256:adaaab13dc93768ee4ece19dfda3b53c3f9da018fc06d74718d42e17ba74d961	ZM,Zambia,I05,National Artificial Intelligence Strategy 2025-2027 - transparency/accountability but no algorithm register,Ministry of Technology and Science,https://www.mots.gov.zm/wp-content/uploads/2025/02/Zambia-Ai-Strategy-Book-option-2.pdf,2026-05-31,offi	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4986F319B9BD87C9	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	public administration AI	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_1_SOURCE_PACK.csv	793	sha256:f11983991e9604cc21fd0ec805e3be78b344d4265247cedbdc2265492c8e9263	PL,Poland,I02,Grupa Robocza ds. Sztucznej Inteligencji (GRAI),Ministerstwo Cyfryzacji / Gov.pl,https://www.gov.pl/web/cyfryzacja/grupa-robocza-ds-sztucznej-inteligencji-grai,2026-05-30,official institutional page,Evidence of operational AI working group and re	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-498E334046B0CE75	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_COUNTRY_REVIEW_LOAD.csv	61	sha256:4eef6123497da0f259202117d058f9f30f04d31c0c0c54419e8c034fbe747198	"5,KH,Cambodia,Asia expansion,10,2,3,8,0.900,22,Medium: warning present,""Do not claim Cambodia has an enacted AI law based on Draft National AI Strategy pages.; Do not claim MPTC, the Digital Government Committee, NBC, TRC, or ISC is a legally designated AI com"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-499FA4CB7F0C72AE	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260606T050159Z/tables/registry-sample-records-v0.2.csv	4	sha256:26a7c31c9909e4007574d6d1f99fdb697bae5bd0f33f0a4c5ef7fc5f14e72a05	NL-ALG-REC-93184465,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/gm1735/93184465/datamask,2026-06-05,Datamask,Municipality of Hof van Twente,yes,ye	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49A5525C34EE156B	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	21	sha256:0dea174ebc51b6cd4dca280394f3a61cb34bb00f491ef7806f999a7c7cc5e9e3	ALL-NL-ALG-REG-0020,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-65441477,Civil affairs: eServices,https://algoritmes.overheid.nl/en/algoritme/65441477,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bu	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49AB2DAC39352A44	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/submission-preprint-packages/atlas-preprint-package-20260606T050415Z/sources/sources__sources.md	67	sha256:37397874ad62875a0b208677df42846df675d4845d5433f1a532044f61bf5b21	- Source: UK ICO Regulatory Sandbox; URL: `https://ico.org.uk/for-organisations/advice-and-services/regulatory-sandbox/`; access date: 2026-06-05T17:40:44Z; language: English; jurisdiction: United Kingdom; rights/terms: public regulator web page, metadata/snip	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49B3301CA92CABD7	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-procurement-gap/data/pilot/register-records-v0.1.csv	5	sha256:8d3e7e8b3606d4f1efab9a04dc4e8186c887c9259d02b60c6a835d48ffadc26b	alg-nld-37686130,Dutch Algorithm Register API/detail page,https://algoritmes.overheid.nl/en/algoritme/gm0363/37686130/slow-traffic-monitoring-system-amsterdam,2026-06-05T18:30:17Z,Official public Dutch government algorithm register; metadata-only capture; page	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49B9AB887895C920	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	67	sha256:c272df8ebe696f1cc7f302744e0d09528aa910c93fed2b2e673fdcfaee09946f	ALL-NL-ALG-REG-0066,NL-ALG-REG,Algorithm Register of the Dutch government,Netherlands,NL-ALG-47471681,Anonymise,https://algoritmes.overheid.nl/en/algoritme/47471681,In use,deployed_or_production_or_in_use,yes,official Dutch Algorithm Register bulk CSV row with	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49C34B9FBC093C59	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv	190	sha256:a68e1cc8cc0afc6b098f20dd13d37b6eadf457418a9ae5a3cb92fecdf6ddd22d	KH,Cambodia,I05,MPTC site search for algorithm register,Ministry of Post and Telecommunications,https://mptc.gov.kh/wp-json/wp/v2/search?search=algorithm%20register&per_page=10,2026-05-31,official_site_search,negative_evidence,M,No public algorithm-register re	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49C7D99DE1798050	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-deployed-record-accession-all-20260607.csv	1477	sha256:cf4aafd595c71c0f09886c7ac7c3fcc120fcf78d52a0b7578c9acd0199400810	ALL-CA-AI-REG-0062,CA-AI-REG,Government of Canada AI Register,Canada,2526-GAC-AMC-017,Senior Management Briefs,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI Reg	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49C80A296CF08FD0	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-284-active-lanes-40-github-copilot-cloud-agent-supply-chain/facts.jsonl	1088	sha256:411d75e355a6dfe14391c51026e596754912c856a82a943a5ca94ddbb4e0755d	"{""agent_id"": ""philippines-egovai-government-ai-platform"", ""claim"": ""Existing eGovAI developer-document evidence exposes a government AI assistant API surface with authentication, message processing, intent recognition, entity extraction, JSON responses, and re"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49D229838C0518A8	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/atlas/tyche-thesis-atlas-factory/snapshots/v0.2-freeze-20260601T060436Z/analysis/evidence-package/evidence-package-fields-v0.2.csv	9	sha256:44e1da575e2da6a83c74a43f66aab47dda96c64ff6a593d0b846ada507fca0ef	"intended_purpose_context,""Intended purpose, domain, and affected interests"",P0,intended_purpose_domain_and_affected_interests,technical documentation package; general governance evidence,provider; deployer; sandbox authority; affected public,23785,351,15,0,329"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49D41EC65665A8F8	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	351	sha256:6a2f33f3a2b5cc466126e2e6b3bf3e57463080f1c492a1e98bd61bc4b56645e7	5,TN,Tunisia,I05,,0,L,0,M,,TRUE,,Official government transparency portals checked; no public algorithm register was verified.,,,,,,,,tn-source-hardening,confidence_only	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49E3CFE95C09911C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_11_SOURCE_REFRESH.csv	55	sha256:4cc5f287788b7bfaa0984c7f68ff3f62ec786d09f290641071f9269dcc387526	CZ,Czechia,I03,AI-MATTERS testing and experimentation facility mention in National AI Strategy 2030,Czech Ministry of Industry and Trade,https://www.mpo.gov.cz/assets/cz/podnikani/digitalni-ekonomika/umela-inteligence/2024/8/Narodni-strategie-umele-intelience-	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-49F45EC7E681E0A6	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_SOURCE_REFRESH.csv	83	sha256:c318ea983a210c2d737fddcfeda6f826f64ab23432403d2dd7e29bb68105683e	EH,Western Sahara,I05,Ministry digital portal checked for algorithm-register evidence,Ministry of Digital Transition and Administration Reform Morocco,https://www.mmsp.gov.ma/fr,2026-05-30,government_portal,parent-administered/context,L,General ministry portal	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-4A171FB01A31B876	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_2_SOURCE_PACK.csv	576	sha256:89a78f7aca4a3c5e64da2b9c821ef3c403b2a2c809cdea5684122ed9f55fe995	RU,Russia,I05,Moscow AI experimental legal regime law,Federal Assembly / Official Internet Portal of Legal Information,http://publication.pravo.gov.ru/Document/View/0001202004240025,2026-05-30,statutory source,AI-specific experiment creates some public-law tra	needs direct source, source-pack resolution, or translation-aware review before example promotion
