signal_id	review_state	first_pass_verdict	candidate_role	review_reason	claim_ceiling	next_action	reviewed_at_utc	review_priority	shards	queries	source_path	source_line	snippet_hash	snippet	queue_reason
LIMEN-SIGNAL-FB11BFFBF12607D7	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/projects/public-ai-registry/results/boost/public-ai-registry-boost-014/field-support-normalized-v0.1.csv	4	sha256:3693830972b141dfdbb9da7d4611b17e2a20b4ed2f9396b8f48f4c549ffabc50	NL-ALG-REC-83985427,NL-ALG-REG,Dutch national Algorithm Register,Algorithm Register of the Dutch government,Netherlands,Netherlands,English auto-translation from Dutch,https://algoritmes.overheid.nl/en/algoritme/mnre1045/83985427/octobox-anonymisation,2026-06-	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB11C05CE5A3A486	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/data/lanes/books-theory-latest.jsonl	298	sha256:5f5b00b06406cee2e4a0fc8a9089e9a1bf4370766cbb1e499c84eaf9faf04d16	"{""already_in_main_dataset"": false, ""authors"": [""Andi Lala""], ""category"": ""scholarly-index-result"", ""container_title"": ""Journal of Law and Regulation Governance"", ""doi"": ""10.57185/jlarg.v3i4.104"", ""domain"": ""doi.org"", ""is_referenced_by_count"": 0, ""lane"": ""books"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB1491B0950E13E8	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_1_COUNTRY_SCORE_DELTA.csv	39	sha256:a07cb14611fb1f699dfd978f0c6315502f6de57c4081eabb200462032c4316be	"GQ,I08,2,M,2,M,""Public-contracts bill sources strengthen procurement-governance evidence but remain insufficient to justify a higher score without final enacted law text, procurement portal, or AI procurement controls."",true,gq-source-hardening"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB55E5E1E9446871	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/gaia/tyche-research-vault/data/global-agent-atlas-v0.1/backups-cycle-285-active-lanes-40-playwright-mcp-browser-automation-supply-chain/facts.jsonl	1088	sha256:411d75e355a6dfe14391c51026e596754912c856a82a943a5ca94ddbb4e0755d	"{""agent_id"": ""philippines-egovai-government-ai-platform"", ""claim"": ""Existing eGovAI developer-document evidence exposes a government AI assistant API surface with authentication, message processing, intent recognition, entity extraction, JSON responses, and re"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB5EA9B87CBDC228	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_4_SOURCE_PACK.csv	404	sha256:1e9a04288ff6064523818f6048fa21e03cdfea8f0136354702e64d4b11aff2cb	"LK,Sri Lanka,I05;I09,data.gov.lk home,Government of Sri Lanka open data portal,https://data.gov.lk/,2026-05-30,official open-data portal,Evidence of a public open-data portal; negative/weak check for algorithm-register visibility,M,""Portal supports datasets, n"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB636AB89965B67C	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	deepfake	/srv/tyche/gaia/tyche-research-vault/sites/gaia-agent-atlas/public/downloads/gaia-agent-atlas-source-documents-v0.1.csv	806	sha256:1497a9b38cc1a7ee15f3f6e33e1aa177c5f2fe30b1ced029bab30f510680f35d	"Global,governance-monitor-ncsl-ai-legislation-database,Artificial Intelligence Legislation Database,en,en,en,Artificial Intelligence Legislation Database,Artificial Intelligence Legislation Database,False,none_needed,,not_required,""Candidate public evidence on"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB8ADA985D07E0D2	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	829	sha256:6d7f8b4108459ddaaf26e884a5d5a47e13f72ec43a66d8b2e906595a6b7e2567	"pallas-readiness-sprint-1,PT,Portugal,I05,dados.gov.pt - Portal de Dados Abertos da Administração Pública,AMA / Government of Portugal,https://dados.gov.pt/,2026-05-30,official open data portal,General public-sector transparency infrastructure,H,""National open"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FB928E9EA6AB342C	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_12_SOURCE_REFRESH.csv	23	sha256:98c439a9e9406c9eb0d9f5777d03e3fd10c0b91967e8415eeaefb96a17b583a1	"AD,Andorra,I08;I10,Decret 38/2026 Reglament de la Llei de contractació pública,Govern d'Andorra / BOPA,https://www.bopa.ad/bopa/038014/Pagines/GD_2026_02_05_12_39_56.aspx,2026-05-31,regulation,positive evidence,H,""Newer official procurement regulation covers p"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBA32CF39D5184E7	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SCORE_CHANGES.csv	11	sha256:b588ed13fe156d8086b05abf02650f812125045a1ef8f41bae86de6be22c0c18	1,GQ,Equatorial Guinea,I03,Africa expansion A,1,L,0,L,score_down,true,High,Targeted BEAC and government-press searches did not verify a regulatory sandbox. Candidate downscore reflects no named public sandbox evidence; human review should decide whether to pre	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBA6FA0232B82D53	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	watermark	/srv/tyche/gaia/tyche-research-vault/submissions/gaia-preprint-package-20260605T0845EEST/data/exports/global-agent-atlas-laws-v0.1.csv	7	sha256:f7c57f2a13854c56b740b7fe96a13c76b9ad8ef4d4a8c317b3fc239d3fe83a27	"us-california-ai-transparency-act,US-CA,""California, United States"",California AI Transparency Act SB 942,state_law,in_force,2026-01-01,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB942,official_law_or_regulator,""California la"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBB48170F4093DCD	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/results/submission-preprint-packages/public-ai-registry-preprint-package-20260607T020930Z/zenodo/public-ai-registry-observatory-initial-corpus-20260608/data/registry-deployed-record-accession-all-20260607.csv	1478	sha256:01337c9ca4147dd1f2293d27be3912038d56673ab8f268857ab5863a25d12809	ALL-CA-AI-REG-0063,CA-AI-REG,Government of Canada AI Register,Canada,2526-GAC-AMC-018,Missions AI-Generated Briefs,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b,In production,deployed_or_production_or_in_use,yes,official Canada AI	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBBFF181468ED092	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	identity-provenance	C2PA	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_CONFIDENCE_CHANGES.csv	910	sha256:6ff881d7bf81bb7f6769fdfafc4512a51e489680dc9aa0d33994001a6ad5faf6	"13,SJ,Svalbard and Jan Mayen,I10,,1,M,1,H,,true,,""No score uplift but confidence improves: Digdir GenAI guidance explicitly mentions provenance/sporbarhet, Content Credentials/C2PA, access control, logging and audit/revision of AI use, and Digdir/Datatilsynet"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBE732717F72C46F	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	1941	sha256:3eec16e26d6ad58ab37f82ff266603508608a080cdfb3e6680fe0b50c907fcf5	pallas-readiness-sprint-3,CO,Colombia,I05,Ley 1712 de 2014 - Transparencia y derecho de acceso a información pública,Función Pública,https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=56882,2026-05-30,statutory source,General public-transparency	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBE90D172436D59A	first_pass_reviewed	hold_needs_direct_source	source_pack_proxy_candidate	candidate is a source-pack/proxy row that appears to name an underlying public source	must resolve the underlying source before any reviewed example or paper claim	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/world-readiness-overview/algorithm-register-scarcity-map.json	1847	sha256:326f58e3e671f60f68804c2040a9f34f3ebb942ef29f391e44b029a659564cf7	"gap_flags: ""no enacted AI-specific law found; no AI regulator found; no AI sandbox found; no public algorithm register found; procurement AI governance not found; AI audit/post-market/revocation evidence weak"","	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBF1543BCDB6D865	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_WORLD_SOURCE_PACK.csv	819	sha256:4d52dd1cf7ddb533de304becb7b0ee12b4059168d5661ac4eedbafe2f259c609	pallas-readiness-sprint-1,PT,Portugal,I01,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence,EUR-Lex / Official Journal of the European Union,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,2026-05-30,official EU regulation,EU	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBF224E74B5D4AF0	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI procurement	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_WEAK_SOURCE_WARNINGS.md	795	sha256:b39c80567e13a07cc4f6dd68d6a58f6e542d01d26fdf707ba318d65bbd35876e	- I08: Digital government/DSN evidence is not AI procurement governance evidence.	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FBFAB16242A77889	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	AI evidence	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_SECOND_PASS_SPRINT_5_SOURCE_REFRESH.csv	35	sha256:e0d2c20435c8a559b8f7428216144faa99151df75e8235f7ac8cbf12c3e74c1e	"AS,American Samoa,I10,Office of Procurement,American Samoa Government Office of Procurement,https://procurement.as.gov/,2026-05-31,official_territorial_procurement_portal,procurement_recordkeeping_context,L,""Procurement portal may support documentary workflow"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC07501E8F9438AB	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/corpus/v0.2-working/gaia-agent-atlas/gaia-governanceMonitors-history.jsonl	62	sha256:f864ca822fa77f28e5b23a1976aa6f82de5791be79296057317ac4a43bb03988	"{""content_hash"": ""8b01b920d9a710da151add0a6cf3bdf5cfb8f8c1f4534c5ebb83eaea2d9807cf"", ""corpus_version"": ""v0.2-working"", ""gaia_built_at"": ""2026-06-01T20:09:58+00:00"", ""gaia_record_key"": ""oecd-ai-policy-observatory::OECD.AI Policy Observatory"", ""gaia_zenodo_doi"":"	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC0A7A4004FA357E	first_pass_reviewed	hold_needs_direct_source	needs_source_resolution	candidate is potentially relevant but does not yet expose a direct reviewable source in local metadata	must resolve direct public source before promotion	resolve underlying direct public source before review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	legal-research	retraction	/srv/tyche/gaia/tyche-research-vault/notes/zeus-lane-harvest-2026-05-22/nekropolis/paper/draft.md.bundle/sources/paper-draft-after-candidate-only-boundaries-update.md	226	sha256:010ed03aacb8243bc7a1bb204802761c8a718d09bdeb40655b4f3965d097847d	The first limitation is source coverage. The current working corpus is useful as a structured negative-results prototype, but it is not a complete census of AI-governance discontinuity. The Retraction Watch-derived candidate slice dominates the counts, while E	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC153B17BEC9A1EC	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	algorithm register	/srv/tyche/pallas/pallas-ai-agent-observatory/results/boost/pallas-boost-007/readiness-negative-route-protocol-v0.1.csv	6	sha256:be287bee24ae4797d1ad1224b9ebbf411c84f04735297cb1b3e8bbfde7f7befc	readiness-negative-route-v0.1-bh-register,BH,Bahrain,PG-005,multilingual_public_register_route,ar; en; fr,yes,9,seed source; original-language parliamentary or government source; public service/program page; procurement/open-data or disclosure route if explici	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC2FF8A78E072339	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	AI register	/srv/tyche/projects/public-ai-registry/data/registry-record-accession-candidates-all-priorities-20260607.csv	92	sha256:2c00c7f6c1d7eb50e6a736448ce983a89fac341072a90c58d31cb1161a9bf61d	ACC-CA-001,P0,CA-AI-REG,Government of Canada AI Register,Canada,active_register,2526-ATSSC-SCDATA-001,Westlaw AI,https://open.canada.ca/data/en/dataset/fcbc0200-79ba-4fa4-94a6-00e32facea6b#row=2526-ATSSC-SCDATA-001,200,official Canada Open Government CSV row,y	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC3CBF35C7E3D28D	first_pass_reviewed	hold_needs_human_translation	translation_sensitive_candidate	candidate appears to depend on non-English or translated public evidence	translation-safe source review only; no legal or policy conclusion from machine translation	route to translation-aware source review	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	regulatory sandbox	/srv/tyche/atlas/tyche-thesis-atlas-factory/results/staged-preprint-packages/atlas-data-method-staged-package-20260607T080358Z/sources/sources.md	893	sha256:8b46707d88ee3a26f9b977e555b421ae06b3062309abbdc8a6eb729d18334ffe	- Source-health negative result: Singapore MAS fintech regulatory sandbox URL `https://www.mas.gov.sg/development/fintech/regulatory-sandbox`; access date: 2026-06-05T17:40:44Z; language: English/maintenance page; jurisdiction: Singapore; rights/terms: public	needs direct source, source-pack resolution, or translation-aware review before example promotion
LIMEN-SIGNAL-FC6794AFA52657B8	first_pass_reviewed	promote_to_source_review	direct_surface_candidate	candidate points directly to a public or official-looking source surface	direct source review may inspect source posture only; no prevalence, legality, safety, or compliance claim	open direct source review packet	2026-06-14T08:35:44Z	P1_official_or_regulator_review	public-sector	automated decision	/srv/tyche/pallas/pallas-ai-agent-observatory/reports/PALLAS_READINESS_SPRINT_3_SOURCE_PACK.csv	153	sha256:a9602b0b456cd870119aede85dbbb9b5fbfe732c54ba368879f55630f87c2c42	BS,Bahamas,I05,Office Of The Data Protection Commissioner,Government of The Bahamas,https://www.bahamas.gov.bs/office-of-the-data-protection-commissioner,2026-05-30,government agency page,Shows privacy oversight transparency adjacent to automated decision gove	needs direct source, source-pack resolution, or translation-aware review before example promotion
